stock_code,num_sheets,sheet_names,is_same_sheets,corp_code,corp_name,modify_date,sector,product,corp_cls,market_type
036620,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,261009,감성코퍼레이션,20221118,기타 전문 도매업,"의류, 의류디자인, 휴대폰 주변기기",K,KOSDAQ
417200,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1528141,LS머트리얼즈,20231212,전자부품 제조업,울트라커패시터(셀 및 모듈),K,KOSDAQ
004250,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,108038,엔피씨,20240701,플라스틱제품 제조업,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",Y,KOSPI
139990,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,486705,아주스틸,20211201,1차 철강 제조업,"프리미엄 가전용 고품질 컬러강판, 건자재  등",Y,KOSPI
317860,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1328170,노드메이슨,20230228,기타 화학제품 제조업,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직),N,KONEX
099320,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,449254,쎄트렉아이,20240701,"항공기,우주선 및 부품 제조업","인공위성시스템, 위성지상국, 위성부분품 개발 및 제조",K,KOSDAQ
070300,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,683007,엑스큐어,20240905,소프트웨어 개발 및 공급업,"USIM카드, 금융카드",K,KOSDAQ
018250,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,139454,애경산업,20231204,기타 화학제품 제조업,"Age 20's,루나,  트리오, 2080치약, 순샘, 제트 등",Y,KOSPI
015760,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,159193,한국전력공사,20240416,전기업,"전력자원개발,발전,송전,전력용기자재확보",Y,KOSPI
017390,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,130684,서울도시가스,20221205,연료용 가스 제조 및 배관공급업,"도시가스공급,가스공급설비공사",Y,KOSPI
108380,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,111193,대양전기공업,20221213,선박 및 보트 건조업,"해상용 조명등기구, (함정용)전자시스템, 배전반류 등",K,KOSDAQ
